Month,Day,Fajr_Begin,Shorok_Begin,Dhuhr_Begin,Asr_Begin,Magrib_Begin,Isha_Begin,Fajr_Egama,Dhuhr_Egama,Asr_Egama,Magrib_Egama,Isha_Egama
January,1,6:30,7:55,12:26,3:15,4:57,6:23,6:40,12:45,3:30,5:01,7:30
January,2,6:30,7:55,12:27,3:16,4:58,6:24,6:40,12:45,3:30,5:02,7:30
January,3,6:30,7:55,12:27,3:17,4:59,6:25,6:40,12:45,3:30,5:03,7:30
January,4,6:30,7:55,12:27,3:17,4:59,6:25,6:40,12:45,3:30,5:03,7:30
January,5,6:30,7:55,12:28,3:18,5:00,6:25,6:40,12:45,3:30,5:04,7:30
January,6,6:30,7:55,12:29,3:20,5:02,6:27,6:40,12:45,3:30,5:06,7:30
January,7,6:30,7:55,12:29,3:21,5:03,6:28,6:40,12:45,3:30,5:07,7:30
January,8,6:30,7:54,12:29,3:22,5:04,6:29,6:40,12:45,3:30,5:08,7:30
January,9,6:30,7:54,12:30,3:23,5:05,6:30,6:40,12:45,3:30,5:09,7:30
January,10,6:29,7:54,12:30,3:24,5:06,6:31,6:40,12:45,3:45,5:10,7:30
January,11,6:29,7:54,12:31,3:25,5:07,6:32,6:40,12:45,3:45,5:11,7:30
January,12,6:29,7:54,12:31,3:25,5:07,6:32,6:40,12:45,3:45,5:11,7:30
January,13,6:29,7:53,12:31,3:27,5:09,6:34,6:40,12:45,3:45,5:13,7:30
January,14,6:28,7:52,12:32,3:28,5:10,6:35,6:40,12:45,3:45,5:14,7:30
January,15,6:28,7:52,12:32,3:30,5:12,6:36,6:40,12:45,3:45,5:16,7:30
January,16,6:28,7:51,12:32,3:31,5:13,6:37,6:40,12:45,3:45,5:17,7:30
January,17,6:27,7:51,12:33,3:32,5:14,6:38,6:40,12:45,3:45,5:18,7:30
January,18,6:27,7:50,12:33,3:33,5:15,6:39,6:40,12:45,3:45,5:19,7:30
January,19,6:27,7:50,12:33,3:33,5:15,6:39,6:40,12:45,3:45,5:19,7:30
January,20,6:26,7:49,12:34,3:36,5:18,6:42,6:40,12:45,4:00,5:22,7:30
January,21,6:25,7:48,12:34,3:37,5:19,6:43,6:40,12:45,4:00,5:23,7:30
January,22,6:25,7:48,12:34,3:38,5:20,6:44,6:40,12:45,4:00,5:24,7:30
January,23,6:24,7:47,12:35,3:40,5:22,6:45,6:40,12:45,4:00,5:26,7:30
January,24,6:23,7:46,12:35,3:41,5:23,6:46,6:40,12:45,4:00,5:27,7:30
January,25,6:23,7:45,12:35,3:42,5:24,6:47,6:30,12:45,4:00,5:28,7:30
